Gene,Max_TPM,Max_FPKM
RNU5E-5P,0.0,0.0
RNU5F-8P,0.0,0.0
RNU5A-5P,0.0,0.0
RNU5E-9P,0.0,0.0
RNU5B-6P,0.0,0.0
RNU5E-3P,0.0,0.0
RNU5F-2P,0.0,0.0
RNU5B-5P,,
RNU5A-1,3.38,3.54
RNU5B-1,16.48,17.2
RNU5A-6P,0.0,0.0
RNU5B-4P,0.0,0.0
RNU5F-3P,0.0,0.0
RNU5A-8P,0.0,0.0
RNU5F-7P,0.0,0.0
RNU5F-4P,0.0,0.0
RNU5E-8P,0.0,0.0
RNU5F-5P,,
RNU5A-4P,0.0,0.0
RNU5E-6P,0.0,0.0
RNU5A-2P,0.0,0.0
RNU5F-6P,0.0,0.0
RNU5A-3P,0.0,0.0
RNU5B-3P,0.0,0.0
RNU5E-4P,0.0,0.0
RNU5B-2P,0.0,0.0
RNU5F-1,1.35,1.71
RNU5A-7P,0.0,0.0
RNU5E-7P,0.0,0.0
RNU5E-2P,,
RNU5D-1,6.61,6.68
RNU5E-10P,0.0,0.0
RNU5D-2P,0.0,0.0
RNU5E-1,0.0,0.0
