Gene,Max_TPM,Max_FPKM
RNU4-8P,0.0,0.0
RNU4-66P,0.0,0.0
RNU4-41P,0.85,0.86
RNU4-37P,0.0,0.0
RNU4-91P,0.0,0.0
RNU4-89P,0.0,0.0
RNU4-31P,0.0,0.0
RNU4-84P,0.0,0.0
RNU4-82P,0.95,1.17
RNU4-44P,0.0,0.0
RNU4-22P,0.0,0.0
RNU4-73P,0.0,0.0
RNU4-17P,0.0,0.0
RNU4-48P,0.0,0.0
RNU4-85P,1.01,1.28
RNU4-11P,0.0,0.0
RNU4-39P,2.07,2.41
RNU4-52P,0.0,0.0
RNU4-21P,0.74,0.96
RNU4-3P,,
RNU4-49P,0.0,0.0
RNU4-70P,0.0,0.0
RNU4-58P,0.0,0.0
RNU4-6P,0.0,0.0
RNU4-68P,0.58,0.73
RNU4-76P,0.0,0.0
RNU4-12P,0.0,0.0
RNU4-55P,0.0,0.0
RNU4-54P,0.0,0.0
RNU4-34P,0.0,0.0
RNU4-60P,0.0,0.0
RNU4-40P,0.65,0.77
RNU4-45P,0.0,0.0
RNU4-78P,2.23,2.87
RNU4-38P,4.8,5.73
RNU4-25P,0.0,0.0
RNU4-32P,3.1,3.7
RNU4-71P,0.0,0.0
RNU4-51P,1.01,1.16
RNU4-53P,0.95,1.17
RNU4-46P,11.68,13.15
RNU4-26P,0.0,0.0
RNU4-74P,0.0,0.0
RNU4-75P,0.0,0.0
RNU4-56P,0.89,1.02
RNU4-69P,0.0,0.0
RNU4-50P,0.0,0.0
RNU4-15P,0.0,0.0
RNU4-18P,0.0,0.0
RNU4-1,2421.75,3061.73
RNU4-27P,0.0,0.0
RNU4-47P,0.0,0.0
RNU4-24P,0.89,1.08
RNU4-30P,0.0,0.0
RNU4-72P,0.0,0.0
RNU4-5P,0.0,0.0
RNU4-79P,0.0,0.0
RNU4-14P,0.0,0.0
RNU4-29P,0.38,0.43
RNU4-23P,0.63,0.74
RNU4-77P,0.0,0.0
RNU4-10P,0.0,0.0
RNU4-88P,0.0,0.0
RNU4-2,8276.06,9032.84
RNU4-36P,0.92,1.05
RNU4-63P,0.0,0.0
RNU4-90P,0.0,0.0
RNU4-62P,1.25,1.58
RNU4-80P,0.92,1.04
RNU4-83P,0.0,0.0
RNU4-16P,0.31,0.7
RNU4-67P,0.0,0.0
RNU4-4P,0.0,0.0
RNU4-86P,0.0,0.0
RNU4-81P,0.0,0.0
RNU4-13P,0.0,0.0
RNU4-9P,5.72,6.92
RNU4-65P,0.0,0.0
RNU4-61P,0.0,0.0
RNU4-43P,0.0,0.0
RNU4-92P,0.0,0.0
RNU4-57P,0.0,0.0
RNU4-20P,0.0,0.0
RNU4-35P,0.0,0.0
RNU4-87P,0.0,0.0
RNU4-7P,0.0,0.0
RNU4-28P,0.0,0.0
RNU4-59P,2.29,2.88
RNU4-33P,0.0,0.0
RNU4-64P,0.0,0.0
RNU4-42P,0.0,0.0
