Gene,Max_TPM,Max_FPKM
RNU2-21P,0.0,0.0
RNU2-5P,1.44,1.81
RNU2-59P,0.28,0.35
RNU2-4P,0.22,0.25
RNU2-44P,0.0,0.0
RNU2-64P,0.0,0.0
RNU2-23P,0.39,0.39
RNU2-71P,0.0,0.0
RNU2-17P,0.43,0.54
RNU2-6P,4.38,5.54
RNU2-32P,0.0,0.0
RNU2-65P,0.0,0.0
RNU2-43P,0.0,0.0
RNU2-49P,0.0,0.0
RNU2-3P,0.0,0.0
RNU2-58P,0.0,0.0
RNU2-10P,0.0,0.0
RNU2-60P,0.0,0.0
RNU2-22P,0.95,1.15
RNU2-46P,0.0,0.0
RNU2-8P,0.0,0.0
RNU2-18P,0.62,0.78
RNU2-39P,0.0,0.0
RNU2-55P,0.0,0.0
RNU2-1,4176.16,5459.65
RNU2-70P,0.0,0.0
RNU2-24P,0.88,1.11
RNU2-53P,0.0,0.0
RNU2-51P,0.0,0.0
RNU2-31P,0.0,0.0
RNU2-25P,0.0,0.0
RNU2-19P,0.0,0.0
RNU2-20P,0.0,0.0
RNU2-42P,2.96,3.41
RNU2-47P,0.0,0.0
RNU2-38P,0.0,0.0
RNU2-68P,1.03,1.29
RNU2-56P,0.0,0.0
RNU2-14P,0.0,0.0
RNU2-28P,0.0,0.0
RNU2-30P,0.0,0.0
RNU2-33P,0.37,0.43
RNU2-34P,0.0,0.0
RNU2-37P,0.37,0.44
RNU2-15P,0.42,0.53
RNU2-9P,0.0,0.0
RNU2-35P,0.65,0.73
RNU2-52P,0.0,0.0
RNU2-54P,0.85,0.96
RNU2-50P,0.0,0.0
RNU2-12P,0.0,0.0
RNU2-11P,0.71,0.8
RNU2-36P,0.0,0.0
RNU2-63P,15.24,44.96
RNU2-2P,32490.88,37897.85
RNU2-26P,0.0,0.0
RNU2-48P,0.0,0.0
RNU2-13P,0.0,0.0
RNU2-16P,0.0,0.0
RNU2-57P,0.25,0.33
RNU2-62P,0.0,0.0
RNU2-69P,0.0,0.0
RNU2-29P,0.0,0.0
RNU2-66P,0.0,0.0
RNU2-40P,0.0,0.0
RNU2-27P,0.0,0.0
RNU2-41P,0.0,0.0
RNU2-61P,0.0,0.0
RNU2-72P,1.56,1.97
RNU2-45P,0.0,0.0
RNU2-7P,1.42,1.59
